Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot,Processed_Plot
1901,Kansas Saloon Smashers,American,Unknown,,unknown,https://en.wikipedia.org/wiki/Kansas_Saloon_Smashers,"A bartender is working at a saloon, serving drinks to customers. After he fills a stereotypically Irish man's bucket with beer, Carrie Nation and her followers burst inside. They assault the Irish man, pulling his hat over his eyes and then dumping the beer over his head. The group then begin wrecking the bar, smashing the fixtures, mirrors, and breaking the cash register. The bartender then sprays seltzer water in Nation's face before a group of policemen appear and order everybody to leave.[1]",bartend work saloon serv drink custom fill stereotyp irish man bucket beer carri nation follow burst insid assault irish man pull hat eye dump beer head group begin wreck bar smash fixtur mirror break cash regist bartend spray seltzer water nation face group policemen appear order everybodi leave1
1901,Love by the Light of the Moon,American,Unknown,,unknown,https://en.wikipedia.org/wiki/Love_by_the_Light_of_the_Moon,"The moon, painted with a smiling face hangs over a park at night. A young couple walking past a fence learn on a railing and look up. The moon smiles. They embrace, and the moon's smile gets bigger. They then sit down on a bench by a tree. The moon's view is blocked, causing him to frown. In the last scene, the man fans the woman with his hat because the moon has left the sky and is perched over her shoulder to see everything better.",moon paint smile face hang park night young coupl walk past fenc learn rail look moon smile embrac moon smile get bigger sit bench tree moon view block caus frown last scene man fan woman hat moon left sky perch shoulder see everyth better
1901,The Martyred Presidents,American,Unknown,,unknown,https://en.wikipedia.org/wiki/The_Martyred_Presidents,"The film, just over a minute long, is composed of two shots. In the first, a girl sits at the base of an altar or tomb, her face hidden from the camera. At the center of the altar, a viewing portal displays the portraits of three U.S. Presidents—Abraham Lincoln, James A. Garfield, and William McKinley—each victims of assassination.
In the second shot, which runs just over eight seconds long, an assassin kneels feet of Lady Justice.",film minut long compos two shot first girl sit base altar tomb face hidden camera center altar view portal display portrait three us presidents—abraham lincoln jame garfield william mckinley—each victim assassin second shot run eight second long assassin kneel feet ladi justic
1901,"Terrible Teddy, the Grizzly King",American,Unknown,,unknown,"https://en.wikipedia.org/wiki/Terrible_Teddy,_the_Grizzly_King","Lasting just 61 seconds and consisting of two shots, the first shot is set in a wood during winter. The actor representing then vice-president Theodore Roosevelt enthusiastically hurries down a hillside towards a tree in the foreground. He falls once, but rights himself and cocks his rifle. Two other men, bearing signs reading ""His Photographer"" and ""His Press Agent"" respectively, follow him into the shot; the photographer sets up his camera. ""Teddy"" aims his rifle upward at the tree and fells what appears to be a common house cat, which he then proceeds to stab. ""Teddy"" holds his prize aloft, and the press agent takes notes. The second shot is taken in a slightly different part of the wood, on a path. ""Teddy"" rides the path on his horse towards the camera and out to the left of the shot, followed closely by the press agent and photographer, still dutifully holding their signs.",last 61 second consist two shot first shot set wood winter actor repres vicepresid theodor roosevelt enthusiast hurri hillsid toward tree foreground fall right cock rifl two men bear sign read photograph press agent respect follow shot photograph set camera teddi aim rifl upward tree fell appear common hous cat proce stab teddi hold prize aloft press agent take note second shot taken slightli differ part wood path teddi ride path hors toward camera left shot follow close press agent photograph still duti hold sign
1902,Jack and the Beanstalk,American,"George S. Fleming, Edwin S. Porter",,unknown,https://en.wikipedia.org/wiki/Jack_and_the_Beanstalk_(1902_film),"The earliest known adaptation of the classic fairytale, this films shows Jack trading his cow for the beans, his mother forcing him to drop them in the front yard, and beig forced upstairs. As he sleeps, Jack is visited by a fairy who shows him glimpses of what will await him when he ascends the bean stalk. In this version, Jack is the son of a deposed king. When Jack wakes up, he finds the beanstalk has grown and he climbs to the top where he enters the giant's home. The giant finds Jack, who narrowly escapes. The giant chases Jack down the bean stalk, but Jack is able to cut it down before the giant can get to safety. He falls and is killed as Jack celebrates. The fairy then reveals that Jack may return home as a prince.",earliest known adapt classic fairytal film show jack trade cow bean mother forc drop front yard beig forc upstair sleep jack visit fairi show glimps await ascend bean stalk version jack son depos king jack wake find beanstalk grown climb top enter giant home giant find jack narrowli escap giant chase jack bean stalk jack abl cut giant get safeti fall kill jack celebr fairi reveal jack may return home princ
1903,Alice in Wonderland,American,Cecil Hepworth,May Clark,unknown,https://en.wikipedia.org/wiki/Alice_in_Wonderland_(1903_film),"Alice follows a large white rabbit down a ""Rabbit-hole"". She finds a tiny door. When she finds a bottle labeled ""Drink me"", she does, and shrinks, but not enough to pass through the door. She then eats something labeled ""Eat me"" and grows larger. She finds a fan when enables her to shrink enough to get into the ""Garden"" and try to get a ""Dog"" to play with her. She enters the ""White Rabbit's tiny House,"" but suddenly resumes her normal size. In order to get out, she has to use the ""magic fan.""
She enters a kitchen, in which there is a cook and a woman holding a baby. She persuades the woman to give her the child and takes the infant outside after the cook starts throwing things around. The baby then turns into a pig and squirms out of her grip. ""The Duchess's Cheshire Cat"" appears and disappears a couple of times to Alice and directs her to the Mad Hatter's ""Mad Tea-Party."" After a while, she leaves.
The Queen invites Alice to join the ""ROYAL PROCESSION"": a parade of marching playing cards and others headed by the White Rabbit. When Alice ""unintentionally offends the Queen"", the latter summons the ""Executioner"". Alice ""boxes the ears"", then flees when all the playing cards come for her. Then she wakes up and realizes it was all a dream.",alic follow larg white rabbit rabbithol find tini door find bottl label drink shrink enough pass door eat someth label eat grow larger find fan enabl shrink enough get garden tri get dog play enter white rabbit tini hous suddenli resum normal size order get use magic fan enter kitchen cook woman hold babi persuad woman give child take infant outsid cook start throw thing around babi turn pig squirm grip duchesss cheshir cat appear disappear coupl time alic direct mad hatter mad teaparti leav queen invit alic join royal process parad march play card other head white rabbit alic unintent offend queen latter summon execution alic box ear flee play card come wake realiz dream
1903,The Great Train Robbery,American,Edwin S. Porter,,western,https://en.wikipedia.org/wiki/The_Great_Train_Robbery_(1903_film),"The film opens with two bandits breaking into a railroad telegraph office, where they force the operator at gunpoint to have a train stopped and to transmit orders for the engineer to fill the locomotive's tender at the station's water tank. They then knock the operator out and tie him up. As the train stops it is boarded by the bandits‍—‌now four. Two bandits enter an express car, kill a messenger and open a box of valuables with dynamite; the others kill the fireman and force the engineer to halt the train and disconnect the locomotive. The bandits then force the passengers off the train and rifle them for their belongings. One passenger tries to escape but is instantly shot down. Carrying their loot, the bandits escape in the locomotive, later stopping in a valley where their horses had been left.
Meanwhile, back in the telegraph office, the bound operator awakens, but he collapses again. His daughter arrives bringing him his meal and cuts him free, and restores him to consciousness by dousing him with water.
There is some comic relief at a dance hall, where an Eastern stranger is forced to dance while the locals fire at his feet. The door suddenly opens and the telegraph operator rushes in to tell them of the robbery. The men quickly form a posse, which overtakes the bandits, and in a final shootout kills them all and recovers the stolen mail.",film open two bandit break railroad telegraph offic forc oper gunpoint train stop transmit order engin fill locomot tender station water tank knock oper tie train stop board bandits‍—‌now four two bandit enter express car kill messeng open box valuabl dynamit other kill fireman forc engin halt train disconnect locomot bandit forc passeng train rifl belong one passeng tri escap instantli shot carri loot bandit escap locomot later stop valley hors left meanwhil back telegraph offic bound oper awaken collaps daughter arriv bring meal cut free restor conscious dous water comic relief danc hall eastern stranger forc danc local fire feet door suddenli open telegraph oper rush tell robberi men quickli form poss overtak bandit final shootout kill recov stolen mail
1904,The Suburbanite,American,Wallace McCutcheon,,comedy,https://en.wikipedia.org/wiki/The_Suburbanite,"The film is about a family who move to the suburbs, hoping for a quiet life. Things start to go wrong, and the wife gets violent and starts throwing crockery, leading to her arrest.",film famili move suburb hope quiet life thing start go wrong wife get violent start throw crockeri lead arrest
1905,The Little Train Robbery,American,Edwin Stanton Porter,,unknown,https://en.wikipedia.org/wiki/The_Little_Train_Robbery,"The opening scene shows the interior of the robbers' den. The walls are decorated with the portraits of notorious criminals and pictures illustrating the exploits of famous bandits. Some of the gang are lounging about, while others are reading novels and illustrated papers. Although of youthful appearance, each is dressed like a typical Western desperado. The ""Bandit Queen,"" leading a blindfolded new recruit, now enters the room. He is led to the center of the room, raises his right hand and is solemnly sworn in. When the bandage is removed from his eyes he finds himself looking into the muzzles of a dozen or more 45's. The gang then congratulates the new member and heartily shake his hand. The ""Bandit Queen"" who is evidently the leader of the gang, now calls for volunteers to hold up a train. All respond, but she picks out seven for the job who immediately leave the cabin.
The next scene shows the gang breaking into a barn. They steal ponies and ride away. Upon reaching the place agreed upon they picket their ponies and leaving them in charge of a trusted member proceed to a wild mountain spot in a bend of the railroad, where the road runs over a steep embankment. The spot is an ideal one for holding up a train. Cross ties are now placed on the railroad track and the gang hide in some bushes close by and wait for the train. The train soon approaches and is brought to a stop. The engineer leaves his engine and proceeds to remove the obstruction on the track. While he is bending over one of the gang sneaks up behind them and hits him on the head with an axe, and knocks him senseless down the embankment, while the gang surround the train and hold up the passengers. After securing all the ""valuables,"" consisting principally of candy and dolls, the robbers uncouple the engine and one car and make their escape just in time to avoid a posse of police who appear on the scene. Further up the road they abandon the engine and car, take to the woods and soon reach their ponies.
In the meantime the police have learned the particulars of the hold-up from the frightened passengers and have started up the railroad tracks after the fleeing robbers. The robbers are next seen riding up the bed of a shallow stream and finally reach their den, where the remainder of the gang have been waiting for them. Believing they have successfully eluded their pursuers, they proceed to divide the ""plunder."" The police, however, have struck the right trail and are in close pursuit. While the ""plunder"" is being divided a sentry gives the alarm and the entire gang, abandoning everything, rush from the cabin barely in time to escape capture. The police make a hurried search and again start in pursuit. The robbers are so hard pressed that they are unable to reach their ponies, and are obliged to take chances on foot. The police now get in sight of the fleeing robbers and a lively chase follows through tall weeds, over a bridge and up a steep hill. Reaching a pond the police are close on their heels. The foremost robbers jump in clothes and all and strike out for the opposite bank. Two hesitate and are captured. Boats are secured and after an exciting tussle the entire gang is rounded up. In the mix up one of the police is dragged overboard. The final scene shows the entire gang of bedraggled and crestfallen robbers tied together with a rope and being led away by the police. Two of the police are loaded down with revolvers, knives and cartridge belts, and resemble walking aresenals. As a fitting climax a confederate steals out of the woods, cuts the rope and gallantly rescues the ""Bandit Queen.""",open scene show interior robber den wall decor portrait notori crimin pictur illustr exploit famou bandit gang loung other read novel illustr paper although youth appear dress like typic western desperado bandit queen lead blindfold new recruit enter room led center room rais right hand solemnli sworn bandag remov eye find look muzzl dozen 45 gang congratul new member heartili shake hand bandit queen evid leader gang call volunt hold train respond pick seven job immedi leav cabin next scene show gang break barn steal poni ride away upon reach place agre upon picket poni leav charg trust member proceed wild mountain spot bend railroad road run steep embank spot ideal one hold train cross tie place railroad track gang hide bush close wait train train soon approach brought stop engin leav engin proce remov obstruct track bend one gang sneak behind hit head axe knock senseless embank gang surround train hold passeng secur valuabl consist princip candi doll robber uncoupl engin one car make escap time avoid poss polic appear scene road abandon engin car take wood soon reach poni meantim polic learn particular holdup frighten passeng start railroad track flee robber robber next seen ride bed shallow stream final reach den remaind gang wait believ success elud pursuer proceed divid plunder polic howev struck right trail close pursuit plunder divid sentri give alarm entir gang abandon everyth rush cabin bare time escap captur polic make hurri search start pursuit robber hard press unabl reach poni oblig take chanc foot polic get sight flee robber live chase follow tall weed bridg steep hill reach pond polic close heel foremost robber jump cloth strike opposit bank two hesit captur boat secur excit tussl entir gang round mix one polic drag overboard final scene show entir gang bedraggl crestfallen robber tie togeth rope led away polic two polic load revolv knive cartridg belt resembl walk aresen fit climax confeder steal wood cut rope gallantli rescu bandit queen
1905,The Night Before Christmas,American,Edwin Stanton Porter,,unknown,https://en.wikipedia.org/wiki/The_Night_Before_Christmas_(1905_film),"Scenes are introduced using lines of the poem.[2] Santa Claus, played by Harry Eytinge, is shown feeding real reindeer[4] and finishes his work in the workshop. Meanwhile, the children of a city household hang their stockings and go to bed, but unable to sleep they engage in a pillow fight. Santa Claus leaves his home on a sleigh with his reindeer. He enters the children's house through the chimney, and leaves the presents. The children come down the stairs and enjoy their presents.",scene introduc use line poem2 santa clau play harri eyting shown feed real reindeer4 finish work workshop meanwhil children citi household hang stock go bed unabl sleep engag pillow fight santa clau leav home sleigh reindeer enter children hous chimney leav present children come stair enjoy present
